
---------------------------------------------------------
保存时间：   2010-01-20 08:31:29
---------------------------------------------------------
文件名：     G:\SVNnow\项目最终\BLL\AdminInfoBLL.cs
总行数：     199
代码行数：   127 (63.82%)
注释行数：   43 (21.61%)
空白行数：   29 (14.57%)

文件名：     G:\SVNnow\项目最终\BLL\CheckoutInfoBLL.cs
总行数：     144
代码行数：   108 (75.00%)
注释行数：   32 (22.22%)
空白行数：   4 (2.78%)

文件名：     G:\SVNnow\项目最终\BLL\ClientServiceBLL.cs
总行数：     77
代码行数：   39 (50.65%)
注释行数：   27 (35.06%)
空白行数：   16 (20.78%)

文件名：     G:\SVNnow\项目最终\BLL\GoodsCommentBLL.cs
总行数：     119
代码行数：   75 (63.03%)
注释行数：   25 (21.01%)
空白行数：   19 (15.97%)

文件名：     G:\SVNnow\项目最终\BLL\GoodsInfoBLL.cs
总行数：     174
代码行数：   85 (48.85%)
注释行数：   56 (32.18%)
空白行数：   33 (18.97%)

文件名：     G:\SVNnow\项目最终\BLL\LogisticsInfoBLL.cs
总行数：     459
代码行数：   267 (58.17%)
注释行数：   111 (24.18%)
空白行数：   86 (18.74%)

文件名：     G:\SVNnow\项目最终\BLL\MailBLL.cs
总行数：     28
代码行数：   15 (53.57%)
注释行数：   10 (35.71%)
空白行数：   4 (14.29%)

文件名：     G:\SVNnow\项目最终\BLL\MarketDecisionBLL.cs
总行数：     468
代码行数：   164 (35.04%)
注释行数：   259 (55.34%)
空白行数：   45 (9.62%)

文件名：     G:\SVNnow\项目最终\BLL\MasterPageBLL.cs
总行数：     54
代码行数：   38 (70.37%)
注释行数：   13 (24.07%)
空白行数：   3 (5.56%)

文件名：     G:\SVNnow\项目最终\BLL\OrderCtrlBLL.cs
总行数：     280
代码行数：   189 (67.50%)
注释行数：   77 (27.50%)
空白行数：   14 (5.00%)

文件名：     G:\SVNnow\项目最终\BLL\Poll.cs
总行数：     152
代码行数：   136 (89.47%)
注释行数：   8 (5.26%)
空白行数：   8 (5.26%)

文件名：     G:\SVNnow\项目最终\BLL\PollInfoBLL.cs
总行数：     206
代码行数：   99 (48.06%)
注释行数：   57 (27.67%)
空白行数：   50 (24.27%)

文件名：     G:\SVNnow\项目最终\BLL\Report.Designer.cs
总行数：     1676
代码行数：   1424 (84.96%)
注释行数：   38 (2.27%)
空白行数：   214 (12.77%)

文件名：     G:\SVNnow\项目最终\BLL\SecurityService.cs
总行数：     140
代码行数：   109 (77.86%)
注释行数：   26 (18.57%)
空白行数：   5 (3.57%)

文件名：     G:\SVNnow\项目最终\BLL\ShopCartInfoBLL.cs
总行数：     680
代码行数：   502 (73.82%)
注释行数：   121 (17.79%)
空白行数：   59 (8.68%)

文件名：     G:\SVNnow\项目最终\BLL\ShopInfoBLL.cs
总行数：     60
代码行数：   31 (51.67%)
注释行数：   16 (26.67%)
空白行数：   14 (23.33%)

文件名：     G:\SVNnow\项目最终\BLL\UploadInfoBLL.cs
总行数：     43
代码行数：   25 (58.14%)
注释行数：   13 (30.23%)
空白行数：   8 (18.60%)

文件名：     G:\SVNnow\项目最终\BLL\UserInfoBLL.cs
总行数：     189
代码行数：   119 (62.96%)
注释行数：   41 (21.69%)
空白行数：   29 (15.34%)

文件名：     G:\SVNnow\项目最终\BLL\UserScoreBLL.cs
总行数：     39
代码行数：   30 (76.92%)
注释行数：   8 (20.51%)
空白行数：   1 (2.56%)

文件名：     G:\SVNnow\项目最终\BLL\WorkerInfoBLL.cs
总行数：     316
代码行数：   211 (66.77%)
注释行数：   61 (19.30%)
空白行数：   45 (14.24%)

文件名：     G:\SVNnow\项目最终\DAL\AdminInfoDAL.cs
总行数：     264
代码行数：   190 (71.97%)
注释行数：   36 (13.64%)
空白行数：   38 (14.39%)

文件名：     G:\SVNnow\项目最终\DAL\CheckoutInfoDAL.cs
总行数：     306
代码行数：   255 (83.33%)
注释行数：   33 (10.78%)
空白行数：   19 (6.21%)

文件名：     G:\SVNnow\项目最终\DAL\ClientServiceDAL.cs
总行数：     166
代码行数：   110 (66.27%)
注释行数：   30 (18.07%)
空白行数：   33 (19.88%)

文件名：     G:\SVNnow\项目最终\DAL\GoodsCommentDAL.cs
总行数：     284
代码行数：   223 (78.52%)
注释行数：   25 (8.80%)
空白行数：   36 (12.68%)

文件名：     G:\SVNnow\项目最终\DAL\GoodsInfoDAL.cs
总行数：     416
代码行数：   309 (74.28%)
注释行数：   53 (12.74%)
空白行数：   54 (12.98%)

文件名：     G:\SVNnow\项目最终\DAL\LogisticsInfoDAL.cs
总行数：     223
代码行数：   167 (74.89%)
注释行数：   29 (13.00%)
空白行数：   28 (12.56%)

文件名：     G:\SVNnow\项目最终\DAL\MailDAL.cs
总行数：     53
代码行数：   36 (67.92%)
注释行数：   10 (18.87%)
空白行数：   8 (15.09%)

文件名：     G:\SVNnow\项目最终\DAL\MarketDecisionDAL.cs
总行数：     265
代码行数：   165 (62.26%)
注释行数：   65 (24.53%)
空白行数：   35 (13.21%)

文件名：     G:\SVNnow\项目最终\DAL\MasterPageDAL.cs
总行数：     100
代码行数：   74 (74.00%)
注释行数：   19 (19.00%)
空白行数：   7 (7.00%)

文件名：     G:\SVNnow\项目最终\DAL\OrderCtrlDAL.cs
总行数：     676
代码行数：   532 (78.70%)
注释行数：   112 (16.57%)
空白行数：   32 (4.73%)

文件名：     G:\SVNnow\项目最终\DAL\PollInfoDAL.cs
总行数：     547
代码行数：   362 (66.18%)
注释行数：   79 (14.44%)
空白行数：   106 (19.38%)

文件名：     G:\SVNnow\项目最终\DAL\ShopCartInfoDAL.cs
总行数：     167
代码行数：   136 (81.44%)
注释行数：   21 (12.57%)
空白行数：   10 (5.99%)

文件名：     G:\SVNnow\项目最终\DAL\ShopInfoDAL.cs
总行数：     147
代码行数：   107 (72.79%)
注释行数：   20 (13.61%)
空白行数：   21 (14.29%)

文件名：     G:\SVNnow\项目最终\DAL\UploadInfoDAL.cs
总行数：     116
代码行数：   87 (75.00%)
注释行数：   11 (9.48%)
空白行数：   19 (16.38%)

文件名：     G:\SVNnow\项目最终\DAL\UserInfoDAL.cs
总行数：     272
代码行数：   208 (76.47%)
注释行数：   35 (12.87%)
空白行数：   31 (11.40%)

文件名：     G:\SVNnow\项目最终\DAL\UserScoreDAL.cs
总行数：     171
代码行数：   143 (83.63%)
注释行数：   20 (11.70%)
空白行数：   8 (4.68%)

文件名：     G:\SVNnow\项目最终\DAL\WorkerInfoDAL.cs
总行数：     503
代码行数：   376 (74.75%)
注释行数：   62 (12.33%)
空白行数：   67 (13.32%)

文件名：     G:\SVNnow\项目最终\DbCtrl\DataProvider.cs
总行数：     238
代码行数：   152 (63.87%)
注释行数：   52 (21.85%)
空白行数：   35 (14.71%)

文件名：     G:\SVNnow\项目最终\Entity\AdminInfo.cs
总行数：     45
代码行数：   39 (86.67%)
注释行数：   0 (0.00%)
空白行数：   6 (13.33%)

文件名：     G:\SVNnow\项目最终\Entity\AdminListInfo.cs
总行数：     45
代码行数：   39 (86.67%)
